TYPE (g - grad/u - undergrad/b - both),school,years,url
u,texasam,16-17,https://catalog.tamu.edu/archives/2016-2017_Texas_A_M_University_Undergraduate_Catalog_Secured.pdf
u,texasam,17-18,https://catalog.tamu.edu/archives/Update_UG_CAT_PDF_w_Spring_Calendar_Addendum_SECURED.pdf
u,texasam,18-19,https://catalog.tamu.edu/archives/TAMU_2018-19-Undergraduate_Catalog_SECURED.pdf
u,texasam,19-20,https://catalog.tamu.edu/archives/Updated_2019-2020_TAMU_Undergraduate_Catalog_SECURED.pdf
b,ucdavis,16-18,https://local-resources.ucdavis.edu/local_resources/docs/catalog/GenCat20162018.pdf
b,ucdavis,18-19,https://local-resources.ucdavis.edu/local_resources/docs/catalog/GenCat20182019-Final.pdf
b,ucdavis,19-20,https://local-resources.ucdavis.edu/local_resources/docs/catalog/GenCat20192020-Final.pdf
b,ucdavis,20-21,https://local-resources.ucdavis.edu/local_resources/docs/catalog/GenCat20202021.pdf
b,uniillinois,16-17,http://catalog.illinois.edu/pdf/2016-17.pdf
b,uniillinois,17-18,http://catalog.illinois.edu/archivedacademiccatalogs/2017-18.pdf
b,uniillinois,18-19,http://catalog.illinois.edu/archivedacademiccatalogs/2018-19.pdf
b,uniillinois,19-20,http://catalog.illinois.edu/archivedacademiccatalogs/2019-20.pdf
b,uniillinois,20-21,http://catalog.illinois.edu/pdf/2020-21.pdf
u,uniofchicago,17-18,http://collegecatalog.uchicago.edu/thecollege/archives/2017-2018.pdf
u,uniofchicago,18-19,http://collegecatalog.uchicago.edu/thecollege/archives/2018-2019.pdf
b,uniofchicago,19-20,http://collegecatalog.uchicago.edu/thecollege/archives/The_College_Catalog_2019-20.pdf
u,union,16-17,https://catalog.union.edu/mime/media/20/721/Union+College+2016-2017+Academic+Catalog.pdf
u,union,17-18,https://catalog.union.edu/mime/media/20/742/Union+College+2017-2018+Academic+Catalog.pdf
u,union,18-19,https://catalog.union.edu/mime/media/20/773/Union+College+2018-2019+Academic+Catalog.pdf
u,union,19-20,https://catalog.union.edu/mime/media/20/786/Academic+Catalog+2019-2020.pdf
u,uninorthcarolina,16-17,https://catalog.unc.edu/archives/2016-17-ugrad.pdf
g,uninorthcarolina,16-17,https://catalog.unc.edu/archives/2016-17-grad.pdf
u,uninorthcarolina,17-18,https://catalog.unc.edu/archives/2017-18-ugrad.pdf
g,uninorthcarolina,17-18,https://catalog.unc.edu/archives/2017-18-grad.pdf
u,uninorthcarolina,18-19,https://catalog.unc.edu/archives/2018-19-ugrad.pdf
g,uninorthcarolina,18-19,https://catalog.unc.edu/archives/2018-19-grad.pdf
u,uninorthcarolina,19-20,https://catalog.unc.edu/pdf/2019-20-ugrad.pdf
g,uninorthcarolina,19-20,https://catalog.unc.edu/pdf/2019-20-grad.pdf
u,uninotredame,16-17,https://registrar.nd.edu/BOI/BOI1617UG.pdf
g,uninotredame,16-17,https://registrar.nd.edu/BOI/BOIARCH1617.pdf
u,uninotredame,17-18,https://registrar.nd.edu/BOI/BOI1718UG.pdf
g,uninotredame,17-18,https://registrar.nd.edu/BOI/BOIARCH1718.pdf
u,uninotredame,18-19,https://registrar.nd.edu/BOI/BOI1819UG.pdf
g,uninotredame,18-19,https://registrar.nd.edu/BOI/BOIARCH1819.pdf
u,uninotredame,19-20,https://registrar.nd.edu/BOI/BOI1920UG.pdf
g,uninotredame,19-20,https://registrar.nd.edu/BOI/BOIARCH1920.pdf
u,unioregon,16-17,http://uocatalog.uoregon.edu/pdf/2016-17.pdf
u,unioregon,17-18,http://uocatalog.uoregon.edu/pdf/2017-18.pdf
u,unioregon,18-19,http://uocatalog.uoregon.edu/pdf/2018-19.pdf
b,unioregon,19-20,http://uocatalog.uoregon.edu/pdf/2019-20.pdf
u,unitexas,18-20,https://catalog.utexas.edu/pdf/2018-20-undergraduate.pdf
g,unitexas,19-21,https://catalog.utexas.edu/pdf/2019-21-graduate.pdf
u,uniwestgeorgia,19-20,https://www.westga.edu/student-services/registrar/assets/docs/undergraduate-catalog-2019-2020.pdf
g,uniwestgeorgia,19-20,https://www.westga.edu/student-services/registrar/assets/docs/graduate-catalog-2019-2020.pdf
u,uniwisconsin,15-17,https://pubs.wisc.edu/home/archives/ug15/Courses20152017.html
g,uniwisconsin,16-17,https://pubs.wisc.edu/home/archives/grad16/Courses20162017.html
